CorOuRaca,Região,Total,Homem,Mulher, Ano
Total,Brasil,90.5,89.3,91.7, 2013
Total,Norte,84.8,82.2,87.6, 2013
Total,Nordeste,94.6,95.0,94.1, 2013
Total,Sudeste,90.2,87.8,92.5, 2013
Total,Sul,87.8,86.8,89.0, 2013
Total,Centro-Oeste,87.6,88.1,87.2, 2013
Branca,Brasil,91.2,90.2,92.3, 2013
Branca,Norte,92.9,92.2,93.6, 2013
Branca,Nordeste,95.7,95.5,95.8, 2013
Branca,Sudeste,90.9,89.3,92.7, 2013
Branca,Sul,88.7,87.6,89.8, 2013
Branca,Centro-Oeste,89.1,90.6,87.0, 2013
Preta ou parda,Brasil,89.9,88.8,91.1, 2013
Preta ou parda,Norte,82.8,79.9,85.9, 2013
Preta ou parda,Nordeste,94.2,94.8,93.5, 2013
Preta ou parda,Sudeste,89.4,86.3,92.4, 2013
Preta ou parda,Sul,84.4,83.5,85.6, 2013
Preta ou parda,Centro-Oeste,86.6,85.9,87.2, 2013
