CorOuRaca,Região,Total,Homem,Mulher,Ano
Total,Brasil,96.2,95.7,96.8,2017
Total,Norte,92.1,89.9,94.3,2017
Total,Nordeste,97.7,97.5,97.9,2017
Total,Sudeste,97.2,97.0,97.5,2017
Total,Sul,94.3,93.1,95.6,2017
Total,Centro-Oeste,94.8,95.2,94.4,2017
Branca,Brasil,96.6,96.4,96.8,2017
Branca,Norte,92.4,91.7,93.4,2017
Branca,Nordeste,97.5,97.6,97.4,2017
Branca,Sudeste,97.5,97.8,97.1,2017
Branca,Sul,95.4,94.6,96.2,2017
Branca,Centro-Oeste,95.3,94.0,96.8,2017
Preta ou parda,Brasil,96.0,95.2,96.8,2017
Preta ou parda,Norte,92.0,89.4,94.4,2017
Preta ou parda,Nordeste,97.8,97.5,98.1,2017
Preta ou parda,Sudeste,97.0,96.1,97.8,2017
Preta ou parda,Sul,91.3,89.0,93.7,2017
Preta ou parda,Centro-Oeste,94.5,95.7,93.0,2017
