Atividade, Total, Homem , Mulher, Ano
Total,  7 424 ,  8 680 ,  5 380, 2016
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  4 657 ,  4 228 ,  8 659, 2016
"INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  7 222 ,  8 090 ,  5 142 , 2016
" ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  6 219 ,  6 617 ,  4 683 , 2016
 CONSTRUÇÃO,  14 666 ,  16 536 ,  6 560 , 2016
 COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  5 708 ,  6 676 ,  3 980 , 2016
"TRANSPORTE, ARMAZENAGEM E CORREIO",  9 942 ,  11 583 ,  6 076 , 2016
 INFORMAÇÃO E COMUNICAÇÃO,  9 997 ,  11 383 ,  6 766 , 2016
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  8 822 ,  10 834 ,  6 335 , 2016
 ATIVIDADES IMOBILIÁRIAS,  7 329 ,  8 442 ,  5 930 , 2016
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  8 982 ,  11 464 ,  5 275 , 2016
 ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  5 927 ,  6 616 ,  4 817 , 2016
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 330 ,  6 694 ,  5 749 , 2016
 EDUCAÇÃO,  5 902 ,  7 398 ,  5 132 , 2016
 SAÚDE HUMANA E SERVIÇOS SOCIAIS,  8 086 ,  8 795 ,  7 775 , 2016
"ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  5 314 ,  5 979 ,  4 744 , 2016

