Atividade, Total, Homem , Mulher, Ano
Total,  8 465 ,  9 825 ,  6 096, 2019
" AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  7 231 ,  7 368 ,  6 325 , 2019
" INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  9 063 ,  10 257 ,  5 842 , 2019
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  4 487 ,  4 498 ,  4 459 , 2019
CONSTRUÇÃO,  13 257 ,  13 853 ,  11 047 , 2019
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  6 669 ,  7 669 ,  4 920 , 2019
" TRANSPORTE, ARMAZENAGEM E CORREIO",  6 846 ,  7 055 ,  6 007 , 2019
 INFORMAÇÃO E COMUNICAÇÃO,  12 898 ,  14 228 ,  9 035 , 2019
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  9 107 ,  11 022 ,  6 583 , 2019
ATIVIDADES IMOBILIÁRIAS,  8 922 ,  10 916 ,  6 158 , 2019
" ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  12 380 ,  14 205 ,  9 281 , 2019
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  9 197 ,  10 893 ,  6 778 , 2019
" ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 747 ,  6 865 ,  6 567 , 2019
 EDUCAÇÃO,  6 249 ,  8 014 ,  5 222 , 2019
 SAÚDE HUMANA E SERVIÇOS SOCIAIS,  10 650 ,  20 776 ,  5 252 , 2019
" ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  4 458 ,  4 951 ,  3 879, 2019 

