Sexo, Ano, Local,"Valor"
"Mulheres","2019","Nordeste","5,3"
"Mulheres","2019","Sudeste","4,7"
"Mulheres","2019","Sul","5,4"
"Mulheres","2019","Centro-Oeste","6,5"
"Mulheres","2019","Rondônia","6,2"
"Mulheres","2019","Acre","8,1"
"Mulheres","2019","Amazonas","6,8"
"Mulheres","2019","Roraima","8,6"
"Mulheres","2019","Pará","6,7"
"Mulheres","2019","Amapá","6,2"
"Mulheres","2019","Tocantins","4,9"
"Mulheres","2019","Maranhão","5,5"
"Mulheres","2019","Piauí","6,0"
"Mulheres","2019","Ceará","5,0"
"Mulheres","2019","Rio Grande do Norte","6,4"
"Mulheres","2019","Paraíba","5,1"
"Mulheres","2019","Pernambuco","4,6"
"Mulheres","2019","Alagoas","5,2"
"Mulheres","2019","Sergipe","5,3"
"Mulheres","2019","Bahia","5,7"
"Mulheres","2019","Minas Gerais","5,3"
"Mulheres","2019","Espírito Santo","5,0"
"Mulheres","2019","Rio de Janeiro","4,4"
"Mulheres","2019","São Paulo","4,6"
"Mulheres","2019","Paraná","5,4"
"Mulheres","2019","Santa Catarina","5,1"
"Mulheres","2019","Rio Grande do Sul","5,5"
"Mulheres","2019","Mato Grosso do Sul","6,4"
"Mulheres","2019","Mato Grosso","7,4"
"Mulheres","2019","Goiás","5,4"
"Mulheres","2019","Distrito Federal","8,0"
"Mulheres","2019","Porto Velho (RO)","8,2"
"Mulheres","2019","Rio Branco (AC)","9,8"
"Mulheres","2019","Manaus (AM)","7,3"
"Mulheres","2019","Boa Vista (RR)","8,8"
"Mulheres","2019","Belém (PA)","8,1"
"Mulheres","2019","Macapá (AP)","6,7"
"Mulheres","2019","Palmas (TO)","8,9"
"Mulheres","2019","São Luís (MA)","6,1"
"Mulheres","2019","Teresina (PI)","8,1"
"Mulheres","2019","Fortaleza (CE)","8,0"
"Mulheres","2019","Natal (RN)","9,7"
"Mulheres","2019","João Pessoa (PB)","6,7"
"Mulheres","2019","Recife (PE)","6,1"
"Mulheres","2019","Maceió (AL)","4,1"
"Mulheres","2019","Aracaju (SE)","6,7"
"Mulheres","2019","Salvador (BA)","7,9"
"Mulheres","2019","Belo Horizonte (MG)","8,5"
"Mulheres","2019","Vitória (ES)","7,2"
"Mulheres","2019","Rio de Janeiro (RJ)","4,9"
"Mulheres","2019","São Paulo (SP)","5,3"
"Mulheres","2019","Curitiba (PR)","6,7"
"Mulheres","2019","Florianópolis (SC)","8,9"
"Mulheres","2019","Porto Alegre (RS)","7,2"
"Mulheres","2019","Campo Grande (MS)","8,0"
"Mulheres","2019","Cuiabá (MT)","6,6"
"Mulheres","2019","Goiânia (GO)","6,3"
"Mulheres","2019","Brasília (DF)","8,0"
"Mulheres","2019","Manaus (AM)","7,1"
"Mulheres","2019","Belém (PA)","8,3"
"Mulheres","2019","Macapá (AP)","7,0"
"Mulheres","2019","Grande São Luís (MA)","5,7"
"Mulheres","2019","Fortaleza (CE)","6,5"
"Mulheres","2019","Natal (RN)","8,8"
"Mulheres","2019","João Pessoa (PB)","5,9"
"Mulheres","2019","Recife (PE)","5,1"
"Mulheres","2019","Maceió (AL)","3,9"
"Mulheres","2019","Aracaju (SE)","6,2"
"Mulheres","2019","Salvador (BA)","7,1"
"Mulheres","2019","Belo Horizonte (MG)","6,8"
"Mulheres","2019","Grande Vitória (ES)","5,7"
"Mulheres","2019","Rio de Janeiro (RJ)","4,4"
"Mulheres","2019","São Paulo (SP)","4,9"
"Mulheres","2019","Curitiba (PR)","5,3"
"Mulheres","2019","Florianópolis (SC)","7,2"
"Mulheres","2019","Porto Alegre (RS)","6,0"
"Mulheres","2019","Vale do Rio Cuiabá (MT)","6,6"
"Mulheres","2019","Goiânia (GO)","6,2"
"Mulheres","2019","Grande Teresina","7,5"
"Mulheres","2022","Brasil","5,6"
"Mulheres","2022","Norte","7,0"
"Mulheres","2022","Nordeste","5,0"
"Mulheres","2022","Sudeste","5,5"
"Mulheres","2022","Sul","5,9"
"Mulheres","2022","Centro-Oeste","6,6"
"Mulheres","2022","Rondônia","6,3"
"Mulheres","2022","Acre","6,8"
"Mulheres","2022","Amazonas","8,3"
"Mulheres","2022","Roraima","6,6"
"Mulheres","2022","Pará","6,6"
"Mulheres","2022","Amapá","6,3"
"Mulheres","2022","Tocantins","7,0"
"Mulheres","2022","Maranhão","4,9"
"Mulheres","2022","Piauí","8,0"
"Mulheres","2022","Ceará","5,0"
"Mulheres","2022","Rio Grande do Norte","4,5"
"Mulheres","2022","Paraíba","6,2"
"Mulheres","2022","Pernambuco","3,9"
"Mulheres","2022","Alagoas","6,5"
"Mulheres","2022","Sergipe","4,9"
"Mulheres","2022","Bahia","4,8"
"Mulheres","2022","Minas Gerais","5,1"
"Mulheres","2022","Espírito Santo","4,9"
"Mulheres","2022","Rio de Janeiro","5,9"
"Mulheres","2022","São Paulo","5,5"
"Mulheres","2022","Paraná","5,7"
"Mulheres","2022","Santa Catarina","5,7"
"Mulheres","2022","Rio Grande do Sul","6,2"
"Mulheres","2022","Mato Grosso do Sul","7,0"
"Mulheres","2022","Mato Grosso","6,2"
"Mulheres","2022","Goiás","5,9"
"Mulheres","2022","Distrito Federal","8,1"
"Mulheres","2022","Porto Velho (RO)","6,3"
"Mulheres","2022","Rio Branco (AC)","7,2"
"Mulheres","2022","Manaus (AM)","9,0"
"Mulheres","2022","Boa Vista (RR)","6,9"
"Mulheres","2022","Belém (PA)","8,5"
"Mulheres","2022","Macapá (AP)","5,7"
"Mulheres","2022","Palmas (TO)","11,5"
"Mulheres","2022","São Luís (MA)","5,6"
"Mulheres","2022","Teresina (PI)","8,5"
"Mulheres","2022","Fortaleza (CE)","6,1"
"Mulheres","2022","Natal (RN)","6,4"
"Mulheres","2022","João Pessoa (PB)","7,8"
"Mulheres","2022","Recife (PE)","5,9"
"Mulheres","2022","Maceió (AL)","6,4"
"Mulheres","2022","Aracaju (SE)","8,2"
"Mulheres","2022","Salvador (BA)","5,6"
"Mulheres","2022","Belo Horizonte (MG)","7,3"
"Mulheres","2022","Vitória (ES)","6,6"
"Mulheres","2022","Rio de Janeiro (RJ)","6,4"
"Mulheres","2022","São Paulo (SP)","6,2"
"Mulheres","2022","Curitiba (PR)","8,0"
"Mulheres","2022","Florianópolis (SC)","10,4"
"Mulheres","2022","Porto Alegre (RS)","8,5"
"Mulheres","2022","Campo Grande (MS)","8,0"
"Mulheres","2022","Cuiabá (MT)","6,5"
"Mulheres","2022","Goiânia (GO)","5,8"
"Mulheres","2022","Brasília (DF)","8,1"
"Mulheres","2022","Manaus (AM)","8,9"
"Mulheres","2022","Belém (PA)","8,0"
"Mulheres","2022","Macapá (AP)","6,1"
"Mulheres","2022","Grande São Luís (MA)","4,7"
"Mulheres","2022","Fortaleza (CE)","5,3"
"Mulheres","2022","Natal (RN)","5,1"
"Mulheres","2022","João Pessoa (PB)","7,3"
"Mulheres","2022","Recife (PE)","4,6"
"Mulheres","2022","Maceió (AL)","6,2"
"Mulheres","2022","Aracaju (SE)","7,0"
"Mulheres","2022","Salvador (BA)","5,9"
"Mulheres","2022","Belo Horizonte (MG)","6,9"
"Mulheres","2022","Grande Vitória (ES)","6,5"
"Mulheres","2022","Rio de Janeiro (RJ)","5,7"
"Mulheres","2022","São Paulo (SP)","6,1"
"Mulheres","2022","Curitiba (PR)","7,0"
"Mulheres","2022","Florianópolis (SC)","7,7"
"Mulheres","2022","Porto Alegre (RS)","8,1"
"Mulheres","2022","Vale do Rio Cuiabá (MT)","6,4"
"Mulheres","2022","Goiânia (GO)","5,7"
"Mulheres","2022","Grande Teresina","7,6"
"Mulheres","2023","Brasil","5,5"
"Mulheres","2023","Norte","6,5"
"Mulheres","2023","Nordeste","5,1"
"Mulheres","2023","Sudeste","5,2"
"Mulheres","2023","Sul","5,8"
"Mulheres","2023","Centro-Oeste","6,8"
"Mulheres","2023","Rondônia","7,0"
"Mulheres","2023","Acre","5,4"
"Mulheres","2023","Amazonas","6,4"
"Mulheres","2023","Roraima","7,0"
"Mulheres","2023","Pará","6,6"
"Mulheres","2023","Amapá","5,6"
"Mulheres","2023","Tocantins","6,3"
"Mulheres","2023","Maranhão","4,9"
"Mulheres","2023","Piauí","5,2"
"Mulheres","2023","Ceará","4,9"
"Mulheres","2023","Rio Grande do Norte","4,5"
"Mulheres","2023","Paraíba","5,0"
"Mulheres","2023","Pernambuco","4,0"
"Mulheres","2023","Alagoas","7,8"
"Mulheres","2023","Sergipe","5,6"
"Mulheres","2023","Bahia","5,4"
"Mulheres","2023","Minas Gerais","4,8"
"Mulheres","2023","Espírito Santo","4,9"
"Mulheres","2023","Rio de Janeiro","5,9"
"Mulheres","2023","São Paulo","5,2"
"Mulheres","2023","Paraná","6,1"
"Mulheres","2023","Santa Catarina","5,5"
"Mulheres","2023","Rio Grande do Sul","5,7"
"Mulheres","2023","Mato Grosso do Sul","6,6"
"Mulheres","2023","Mato Grosso","7,7"
"Mulheres","2023","Goiás","5,5"
"Mulheres","2023","Distrito Federal","9,1"
"Mulheres","2023","Porto Velho (RO)","5,2"
"Mulheres","2023","Rio Branco (AC)","5,1"
"Mulheres","2023","Manaus (AM)","5,9"
"Mulheres","2023","Boa Vista (RR)","7,3"
"Mulheres","2023","Belém (PA)","6,4"
"Mulheres","2023","Macapá (AP)","4,4"
"Mulheres","2023","Palmas (TO)","10,3"
"Mulheres","2023","São Luís (MA)","5,0"
"Mulheres","2023","Teresina (PI)","6,6"
"Mulheres","2023","Fortaleza (CE)","6,1"
"Mulheres","2023","Natal (RN)","5,4"
"Mulheres","2023","João Pessoa (PB)","8,7"
"Mulheres","2023","Recife (PE)","4,8"
"Mulheres","2023","Maceió (AL)","6,4"
"Mulheres","2023","Aracaju (SE)","7,9"
"Mulheres","2023","Salvador (BA)","7,1"
"Mulheres","2023","Belo Horizonte (MG)","7,8"
"Mulheres","2023","Vitória (ES)","6,5"
"Mulheres","2023","Rio de Janeiro (RJ)","7,3"
"Mulheres","2023","São Paulo (SP)","6,5"
"Mulheres","2023","Curitiba (PR)","6,8"
"Mulheres","2023","Florianópolis (SC)","8,5"
"Mulheres","2023","Porto Alegre (RS)","8,6"
"Mulheres","2023","Campo Grande (MS)","6,7"
"Mulheres","2023","Cuiabá (MT)","7,8"
"Mulheres","2023","Goiânia (GO)","5,1"
"Mulheres","2023","Brasília (DF)","9,1"
"Mulheres","2023","Manaus (AM)","6,1"
"Mulheres","2023","Belém (PA)","6,8"
"Mulheres","2023","Macapá (AP)","4,7"
"Mulheres","2023","Grande São Luís (MA)","4,3"
"Mulheres","2023","Fortaleza (CE)","5,4"
"Mulheres","2023","Natal (RN)","4,4"
"Mulheres","2023","João Pessoa (PB)","6,8"
"Mulheres","2023","Recife (PE)","4,2"
"Mulheres","2023","Maceió (AL)","6,9"
"Mulheres","2023","Aracaju (SE)","6,6"
"Mulheres","2023","Salvador (BA)","7,2"
"Mulheres","2023","Belo Horizonte (MG)","6,4"
"Mulheres","2023","Grande Vitória (ES)","6,1"
"Mulheres","2023","Rio de Janeiro (RJ)","6,0"
"Mulheres","2023","São Paulo (SP)","5,7"
"Mulheres","2023","Curitiba (PR)","7,3"
"Mulheres","2023","Florianópolis (SC)","7,5"
"Mulheres","2023","Porto Alegre (RS)","6,9"
"Mulheres","2023","Vale do Rio Cuiabá (MT)","6,9"
"Mulheres","2023","Goiânia (GO)","4,9"
"Mulheres","2023","Grande Teresina","6,3"
