Atividade, Total,Homem,Mulher,Ano 
"TRANSPORTE, ARMAZENAGEM E CORREIO",  7 621 ,  8 369 ,  4 197 , 2015
INFORMAÇÃO E COMUNICAÇÃO,  12 342 ,  13 836 ,  8 233 , 2015
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  9 875 ,  11 497 ,  7 543 , 2015
ATIVIDADES IMOBILIÁRIAS,  8 084 ,  9 263 ,  6 550 , 2015
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  10 076 ,  12 667 ,  7 240 , 2015
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  6 172 ,  6 916 ,  4 904 , 2015
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 770 ,  7 078 ,  6 290 , 2015
EDUCAÇÃO,  6 802 ,  8 425 ,  5 909 , 2015
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  6 417 ,  7 828 ,  5 592 , 2015
"ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  5 251 ,  4 859 ,  5 625 , 2015
Total,  7 424 ,  8 680 ,  5 380, 2016
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  4 657 ,  4 228 ,  8 659, 2016
"INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  7 222 ,  8 090 ,  5 142 , 2016
" ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  6 219 ,  6 617 ,  4 683 , 2016
 CONSTRUÇÃO,  14 666 ,  16 536 ,  6 560 , 2016
 COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  5 708 ,  6 676 ,  3 980 , 2016
"TRANSPORTE, ARMAZENAGEM E CORREIO",  9 942 ,  11 583 ,  6 076 , 2016
 INFORMAÇÃO E COMUNICAÇÃO,  9 997 ,  11 383 ,  6 766 , 2016
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  8 822 ,  10 834 ,  6 335 , 2016
 ATIVIDADES IMOBILIÁRIAS,  7 329 ,  8 442 ,  5 930 , 2016
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  8 982 ,  11 464 ,  5 275 , 2016
 ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  5 927 ,  6 616 ,  4 817 , 2016
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 330 ,  6 694 ,  5 749 , 2016
 EDUCAÇÃO,  5 902 ,  7 398 ,  5 132 , 2016
 SAÚDE HUMANA E SERVIÇOS SOCIAIS,  8 086 ,  8 795 ,  7 775 , 2016
"ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  5 314 ,  5 979 ,  4 744 , 2016
Total,  7 518 ,  8 438 ,  6 030, 2017
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  5 434 ,  5 555 ,  4 459 , 2017
"INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  8 128 ,  8 346 ,  7 647 , 2017
" ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  8 064 ,  8 627 ,  5 347 , 2017
CONSTRUÇÃO,  9 406 ,  10 475 ,  5 160 , 2017
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  5 591 ,  5 928 ,  5 118 , 2017
"TRANSPORTE, ARMAZENAGEM E CORREIO",  7 203 ,  8 112 ,  4 457 , 2017
INFORMAÇÃO E COMUNICAÇÃO,  11 737 ,  14 084 ,  7 094 , 2017
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  9 991 ,  12 756 ,  6 790 , 2017
ATIVIDADES IMOBILIÁRIAS,  11 911 ,  14 384 ,  6 638 , 2017
" ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  8 855 ,  9 407 ,  8 083 , 2017
 ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  6 858 ,  8 359 ,  3 851 , 2017
" ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 119 ,  6 733 ,  5 093 , 2017
EDUCAÇÃO,  6 043 ,  7 622 ,  5 200 , 2017
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  6 591 ,  7 292 ,  6 186 , 2017
"ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  4 939 ,  5 166 ,  4 673 , 2017
Total,  8 118 ,  9 148 ,  6 337,2018
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  5 988 ,  5 615 ,  9 172 ,2018
" INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  8 889 ,  9 460 ,  7 506 ,2018
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  5 674 ,  6 119 ,  4 316 ,2018
CONSTRUÇÃO,  9 445 ,  10 244 ,  6 056 ,2018
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  6 276 ,  6 943 ,  5 182 ,2018
"TRANSPORTE, ARMAZENAGEM E CORREIO",  7 947 ,  8 583 ,  5 292 ,2018
INFORMAÇÃO E COMUNICAÇÃO,  11 836 ,  12 689 ,  10 125 ,2018
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  11 204 ,  13 425 ,  7 881 ,2018
